Android_Time,Work_Cycle,Left_Arm_Activity,Left_Arm_Angle,Left_Arm_Speed,Right_Arm_Activity,Right_Arm_Angle,Right_Arm_Speed,Trunk_Activity,Trunk_Angle,Glove_Angle_Activity,Wrist_Angle,Glove_Speed_Activity,Wrist_Speed,Glove_Pressure_Activity,Thumb_Pressure
hhmmss,NUMBER,STATUS,degrees,degrees/s,STATUS,degrees,degrees/s,STATUS,degrees,STATUS,degrees,STATUS,degrees/s,STATUS,N
000000,-1,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
130923,-1,1,58.415684,0.000000,2,60.877293,0.000000,0,-3.894959,0,0.000000,0,0.000000,0,0.000000
130924,-1,1,58.427437,0.000000,2,60.928398,0.000000,0,-3.880072,0,0.000000,0,0.000000,0,0.000000
130925,-1,1,58.340813,0.450185,2,60.931854,0.571852,0,-3.888576,0,0.000000,0,0.000000,0,0.000000
130926,-1,1,58.334175,0.348157,2,60.913425,0.500507,0,-3.874238,0,0.000000,0,0.000000,0,0.000000
130927,-1,1,58.365646,0.349015,2,60.882931,0.484058,0,-3.904813,0,0.000000,0,0.000000,0,0.000000
130928,-1,1,58.370754,0.327011,2,60.939106,0.475167,0,-3.847280,0,0.000000,0,0.000000,0,0.000000
130930,-1,1,58.474621,0.366259,2,60.643456,0.454549,0,-3.855204,0,0.000000,0,0.000000,0,0.000000
130930,-1,0,0.074837,10.020373,0,0.140946,10.462543,0,0.014255,0,0.000000,0,0.000000,0,0.000000
130931,-1,0,0.074837,8.588892,0,0.140946,8.967894,0,0.027194,0,0.000000,0,0.000000,0,0.000000
130932,-1,0,0.024899,7.527670,0,0.116906,7.861562,0,0.027875,0,0.000000,0,0.000000,0,0.000000
130933,-1,0,0.147863,6.717646,0,0.194706,7.025297,0,0.003145,0,0.000000,0,0.000000,0,0.000000
130934,-1,0,0.082526,6.078421,0,0.124495,6.373019,0,0.015108,0,0.000000,0,0.000000,0,0.000000
130935,-1,0,0.020134,5.542748,0,0.188622,5.815477,0,-0.008220,0,0.000000,0,0.000000,0,0.000000
130936,-1,0,0.129344,5.109437,0,0.192310,5.364639,0,-0.009928,0,0.000000,0,0.000000,0,0.000000
130937,-1,0,0.147030,4.765124,0,0.117094,4.981421,0,0.041285,0,0.000000,0,0.000000,0,0.000000
130938,-1,0,0.130221,4.461272,0,0.132245,4.658691,0,0.030841,0,0.000000,0,0.000000,0,0.000000
130939,-1,0,0.138129,4.197042,0,0.205764,4.365626,0,0.014974,0,0.000000,0,0.000000,0,0.000000
130940,-1,0,0.121590,3.951919,0,0.230867,4.105471,0,-0.031170,0,0.000000,0,0.000000,0,0.000000
130941,-1,0,0.106873,3.739047,0,0.127658,3.899235,0,-0.025956,0,0.000000,0,0.000000,0,0.000000
