Android_Time,Work_Cycle,Left_Arm_Activity,Left_Arm_Angle,Left_Arm_Speed,Right_Arm_Activity,Right_Arm_Angle,Right_Arm_Speed,Trunk_Activity,Trunk_Angle,Glove_Angle_Activity,Wrist_Angle,Glove_Speed_Activity,Wrist_Speed,Glove_Pressure_Activity,Thumb_Pressure
hhmmss,NUMBER,STATUS,degrees,degrees/s,STATUS,degrees,degrees/s,STATUS,degrees,STATUS,degrees,STATUS,degrees/s,STATUS,N
000000,-1,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
150950,-1,2,65.710274,0.000000,1,55.336174,0.000000,0,7.324760,0,0.000000,0,0.000000,0,0.000000
150951,-1,2,65.955734,-6.024741,1,56.312950,-6.494777,0,7.594715,0,0.000000,0,-0.000000,0,0.000000
150952,-1,2,65.402695,0.000000,1,55.703613,0.000000,0,7.849667,0,0.000000,0,0.000000,0,0.000000
150954,-1,2,65.278313,18.295980,1,55.334946,20.929710,0,7.269315,0,0.000000,0,0.000000,0,0.000000
150954,-1,2,64.911385,11.201286,1,55.186970,10.888937,0,7.324869,0,0.000000,0,0.000000,0,0.000000
150955,-1,2,64.683754,8.018331,1,55.238678,7.577263,0,7.376771,0,0.000000,0,0.000000,0,0.000000
150957,-1,2,64.597496,6.246855,1,55.197861,5.910996,0,7.417506,0,0.000000,0,0.000000,0,0.000000
150958,-1,2,64.608681,5.157502,1,55.200317,4.820684,0,7.427868,0,0.000000,0,0.000000,0,0.000000
150959,-1,2,64.627892,4.444375,1,55.060112,4.193763,0,7.690682,0,0.000000,0,0.000000,0,0.000000
151000,-1,1,54.771416,11.585283,1,54.800556,5.725053,0,7.022517,0,0.000000,0,0.000000,0,0.000000
151001,-1,1,55.845654,10.904310,1,54.320782,5.727580,0,7.550559,0,0.000000,0,0.000000,0,0.000000
151002,-1,1,55.902557,9.818662,1,54.224358,5.231645,0,7.538734,0,0.000000,0,0.000000,0,0.000000
151003,-1,1,56.042892,8.929107,1,54.799320,4.797713,0,7.577838,0,0.000000,0,0.000000,0,0.000000
151004,-1,1,56.145622,8.147780,1,55.258465,4.428571,0,7.881685,0,0.000000,0,0.000000,0,0.000000
151005,-1,1,56.073841,7.504679,1,55.001091,4.094864,0,7.797519,0,0.000000,0,0.000000,0,0.000000
151006,-1,1,56.175423,6.965391,1,54.917191,3.809580,0,7.748752,0,0.000000,0,0.000000,0,0.000000
151007,-1,1,56.137718,6.490483,1,54.966366,3.559730,0,7.841229,0,0.000000,0,0.000000,0,0.000000
151008,-1,1,56.113209,6.083890,1,54.904964,3.340676,0,7.809955,0,0.000000,0,0.000000,0,0.000000
151009,-1,2,63.727856,7.682292,1,54.182987,3.690098,0,7.792522,0,0.000000,0,0.000000,0,0.000000
