Android_Time,Work_Cycle,Left_Arm_Activity,Left_Arm_Angle,Left_Arm_Speed,Right_Arm_Activity,Right_Arm_Angle,Right_Arm_Speed,Trunk_Activity,Trunk_Angle,Glove_Angle_Activity,Wrist_Angle,Glove_Speed_Activity,Wrist_Speed,Glove_Pressure_Activity,Thumb_Pressure
hhmmss,NUMBER,STATUS,degrees,degrees/s,STATUS,degrees,degrees/s,STATUS,degrees,STATUS,degrees,STATUS,degrees/s,STATUS,N
000000,-1,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
132547,-1,1,58.306850,0.000000,2,61.713779,0.000000,0,-1.234903,0,0.000000,0,0.000000,0,0.000000
132548,-1,1,58.527523,0.000000,2,61.737427,0.372056,0,-1.209624,0,0.000000,0,0.000000,0,0.000000
132549,-1,1,58.360050,2.111004,2,61.678036,0.635989,0,-1.201702,0,0.000000,0,0.000000,0,0.000000
132550,-1,1,58.552658,1.636939,2,61.720375,0.545384,0,-1.180015,0,0.000000,0,0.000000,0,0.000000
132551,-1,1,58.454243,1.538903,2,61.726437,0.529074,0,-1.179371,0,0.000000,0,0.000000,0,0.000000
132552,-1,1,58.209370,1.546752,2,61.786583,0.539715,0,-1.142751,0,0.000000,0,0.000000,0,0.000000
132553,-1,1,58.540180,1.490069,2,61.626736,0.533511,0,-1.170326,0,0.000000,0,0.000000,0,0.000000
132554,-1,1,58.470360,1.402488,2,61.767372,0.567083,0,-1.188092,0,0.000000,0,0.000000,0,0.000000
132555,-1,1,58.277390,1.364785,2,61.777859,0.602620,0,-1.220453,0,0.000000,0,0.000000,0,0.000000
132556,-1,1,58.536297,1.362276,2,61.695572,0.606281,0,-1.236044,0,0.000000,0,0.000000,0,0.000000
132557,-1,1,58.526093,1.416449,2,61.732510,0.601666,0,-1.257681,0,0.000000,0,0.000000,0,0.000000
132558,-1,1,58.461056,1.435230,2,61.784058,0.585111,0,-1.271693,0,0.000000,0,0.000000,0,0.000000
132559,-1,1,58.441086,1.394179,2,61.660191,0.651689,0,-1.293193,0,0.000000,0,0.000000,0,0.000000
132600,-1,1,58.441509,1.371287,2,61.632996,0.676956,0,-1.275686,0,0.000000,0,0.000000,0,0.000000
132601,-1,1,58.587402,1.360630,2,61.892990,0.657541,0,-1.279530,0,0.000000,0,0.000000,0,0.000000
132602,-1,1,58.224232,1.360566,0,0.163059,4.756007,0,-0.016789,0,0.000000,0,0.000000,0,0.000000
132605,-1,1,58.551418,1.349105,0,0.163059,4.458756,0,0.004382,0,0.000000,0,0.000000,0,0.000000
132605,-1,0,0.250730,4.908708,0,0.163059,4.196476,0,0.004382,0,0.000000,0,0.000000,0,0.000000
132605,-1,0,0.250730,4.619960,0,0.163188,4.031551,0,-0.000898,0,0.000000,0,0.000000,0,0.000000
