Frame nr:;1;2;3;4;5;6;7;8
Translation_1;8.42567e-17;8.42567e-17;8.42567e-17;8.42567e-17;8.42567e-17;8.42567e-17;8.42567e-17;8.42567e-17
Translation_2;-1.46916e-17;-1.46916e-17;-1.46916e-17;-1.46916e-17;-1.46916e-17;-1.46916e-17;-1.46916e-17;-1.46916e-17
Translation_3;1.0406;1.0406;1.0406;1.0406;1.03931;1.03931;1.03988;1.03988
Rotation_1;-3.78611e-06;-3.78611e-06;-3.78611e-06;-3.78611e-06;-3.78611e-06;-3.78611e-06;-3.78611e-06;-3.78611e-06
Rotation_2;-1.59466;-1.59466;-1.59466;-1.59466;-3.29599;-3.29599;-3.08958;-3.08958
Rotation_3;-1.81193e-05;-1.81193e-05;-1.81193e-05;-1.81193e-05;-0.199626;-0.199626;-0.202999;-0.202999
L5S1_1;-0.000165814;-0.000165814;-0.000165814;-0.000165814;0.0502333;0.0502333;0.0771622;0.0771622
L5S1_2;0.231406;0.231406;0.231406;0.231406;0.0481957;0.0481957;-0.766096;-0.766096
L5S1_3;-8.45215e-06;-8.45215e-06;-8.45215e-06;-8.45215e-06;0.00362733;0.00362733;0.000749514;0.000749514
L3L4_1;-0.000113734;-0.000113734;-0.000113734;-0.000113734;0.0406156;0.0406156;0.0572299;0.0572299
L3L4_2;0.396924;0.396924;0.396924;0.396924;0.157669;0.157669;-0.684117;-0.684117
L3L4_3;-0.00577253;-0.00577253;-0.00577253;-0.00577253;-0.0061056;-0.0061056;-0.00117397;-0.00117397
T12L1_1;-5.74662e-05;-5.74662e-05;-5.74662e-05;-5.74662e-05;0.0778027;0.0778027;0.0407312;0.0407312
T12L1_2;0.0105444;0.0105444;0.0105444;0.0105444;-0.894665;-0.894665;-0.707466;-0.707466
T12L1_3;2.59267e-05;2.59267e-05;2.59267e-05;2.59267e-05;-0.0241129;-0.0241129;-0.00928017;-0.00928017
T6T7_1;-1.03398e-05;-1.03398e-05;-1.03398e-05;-1.03398e-05;0.023897;0.023897;-0.0388262;-0.0388262
T6T7_2;2.73384;2.73384;2.73384;2.73384;1.47978;1.47978;0.20734;0.20734
T6T7_3;1.73779e-05;1.73779e-05;1.73779e-05;1.73779e-05;-0.0238194;-0.0238194;-0.0348284;-0.0348284
T1T2_1;2.12506e-05;2.12506e-05;2.12506e-05;2.12506e-05;-0.000569121;-0.000569121;-0.00416939;-0.00416939
T1T2_2;4.01693;4.01693;4.01693;4.01693;4.00726;4.00726;2.09457;2.09457
T1T2_3;1.92945e-05;1.92945e-05;1.92945e-05;1.92945e-05;-0.00451018;-0.00451018;-0.0233947;-0.0233947
C6C7_1;-5.2116e-06;-5.2116e-06;-5.2116e-06;-5.2116e-06;0.00761193;0.00761193;0.00972183;0.00972183
C6C7_2;-3.04776;-3.04776;-3.04776;-3.04776;-5.62259;-5.62259;-0.273575;-0.273575
C6C7_3;1.26977e-07;1.26977e-07;1.26977e-07;1.26977e-07;-0.0221501;-0.0221501;-0.00259551;-0.00259551
C4C5_1;-2.33158e-06;-2.33158e-06;-2.33158e-06;-2.33158e-06;0.00215272;0.00215272;0.00388194;0.00388194
C4C5_2;-2.26388;-2.26388;-2.26388;-2.26388;-4.16566;-4.16566;-0.188703;-0.188703
C4C5_3;-8.08108e-07;-8.08108e-07;-8.08108e-07;-8.08108e-07;-0.034348;-0.034348;-0.00265012;-0.00265012
AtlantoAxial_1;-1.7049e-06;-1.7049e-06;-1.7049e-06;-1.7049e-06;0.001278;0.001278;0.0011759;0.0011759
AtlantoAxial_2;-0.847814;-0.847814;-0.847814;-0.847814;-1.68935;-1.68935;-0.00360333;-0.00360333
AtlantoAxial_3;-6.95605e-07;-6.95605e-07;-6.95605e-07;-6.95605e-07;-0.0294422;-0.0294422;-0.00397141;-0.00397141
Eyeside_1;0;0;0;0;0;0;0;0
Eyeside_2;0;0;0;0;0;0;0;0
LeftHip_1;-0.37065;-0.37065;-0.37065;-0.37065;-0.600241;-0.600241;-0.867701;-0.867701
LeftHip_2;0.546531;0.546531;0.546531;0.546531;0.659687;0.659687;0.663248;0.663248
LeftHip_3;-0.00193482;-0.00193482;-0.00193482;-0.00193482;-0.679974;-0.679974;0.000367706;0.000367706
LeftKnee;3.56649;3.56649;3.56649;3.56649;6.77209;6.77209;5.34313;5.34313
